IFSC Code,Bank ID,Bank Name,Regex,Bank Name
UTIB0SGCB38,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SGDC01,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SGDS01,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SHSP01,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SIDB99,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SIRS01,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SJAL01,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SKDB88,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SKDC01,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SKPT01,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SLDH01,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SMCB01,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SMCC01,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SMSA01,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SMUC12,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SNCB01,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SNWS01,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SONE01,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SPCB01,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SPKD21,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SPKL01,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SRCB01,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SRDCC1,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SSCB01,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SSCB02,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SSCB03,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SSCB04,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SSNS01,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SSNS02,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SSNS03,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SSSB01,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SSSB02,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SSSB03,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SSSB04,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SSSB05,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0STTN01,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0YCCB01,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIBOSADC83,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SJSD01,1,Axis Bank,^UTIB000[0-9]{4}$,
Barb0madhep,2,Bank of Baroda,^BARB0[a-z,A-Z]{6}$
BKID0NAMRGB,3,Bank of India,^BKID000[0-9]{4}$,
bkid0007031,3,Bank of India,^BKID000[0-9]{4}$,
bkid0005784,3,Bank of India,^BKID000[0-9]{4}$,
bkid0000172,3,Bank of India,^BKID000[0-9]{4}$,
Bkid0006996,3,Bank of India,^BKID000[0-9]{4}$,
bkid0004563,3,Bank of India,^BKID000[0-9]{4}$,
Bkid0005845,3,Bank of India,^BKID000[0-9]{4}$,
BKID0000BMB,3,Bank of India,^BKID000[0-9]{4}$,
bkid0007535,3,Bank of India,^BKID000[0-9]{4}$,
bkid0005751,3,Bank of India,^BKID000[0-9]{4}$,
bkid0005998,3,Bank of India,^BKID000[0-9]{4}$,
BKIDOARYAGB,3,Bank of India,^BKID000[0-9]{4}$,
CBIN0020102,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0020126,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280001,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280002,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280003,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280004,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280005,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280006,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280007,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280008,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280009,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280010,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280011,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280012,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280013,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280014,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280015,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280016,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280017,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280018,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280019,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280020,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280021,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280022,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280023,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280024,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280025,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280026,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280027,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280028,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280029,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280030,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280031,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280032,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280033,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280034,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280035,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280036,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280037,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280038,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280039,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280040,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280041,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280042,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280043,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280044,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280045,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280046,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280047,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280048,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280049,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280050,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280051,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280052,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280053,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280054,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280055,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280056,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280057,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280058,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280059,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280060,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280061,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280062,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280063,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280064,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280065,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280066,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280067,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280068,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280069,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280070,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280071,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280072,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280073,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280074,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280075,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280076,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280077,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280078,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280079,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280080,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280081,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280082,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280083,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280084,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280085,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280086,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280087,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280088,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280089,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280090,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280091,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280092,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280093,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280094,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280095,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280096,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280097,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280098,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280100,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280101,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280102,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280103,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280104,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280105,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280106,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280107,4,Central Bank of India,^CBIN001[0-9]{4}$,
